Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance ,luminosity,Lum in solar units (J/s)
3421.495858,6.37E-14,0.0108052,5.65E+13,4.01E+28,1.05E+02
3420.338014,5.87E-14,0.00919378,6.13E+13,4.73E+28,1.24E+02
3419.850027,6.79E-14,0.0105952,5.30E+13,3.54E+28,9.24E+01
3419.6927,8.42E-14,0.0118499,4.28E+13,2.30E+28,6.00E+01
3418.909462,4.53E-14,0.00727168,7.95E+13,7.94E+28,2.08E+02
3418.908427,6.08E-14,0.01144,5.92E+13,4.40E+28,1.15E+02
3418.279553,3.80E-14,0.0107981,9.47E+13,1.13E+29,2.95E+02
3418.210106,5.15E-14,0.00936539,6.99E+13,6.13E+28,1.60E+02
3418.20138,6.35E-14,0.012054,5.67E+13,4.04E+28,1.05E+02
3418.197948,6.07E-14,0.00883109,5.93E+13,4.43E+28,1.16E+02
3417.920843,7.11E-14,0.00938102,5.06E+13,3.22E+28,8.43E+01
3417.622898,5.49E-14,0.0104986,6.56E+13,5.41E+28,1.41E+02
3417.498131,3.89E-14,0.00944479,9.25E+13,1.08E+29,2.82E+02
3416.246333,7.29E-14,0.00957543,4.94E+13,3.06E+28,8.00E+01
3416.137687,6.08E-14,0.0106619,5.92E+13,4.40E+28,1.15E+02
3416.02308,5.24E-14,0.0110642,6.87E+13,5.94E+28,1.55E+02
3415.947788,6.33E-14,0.00937536,5.69E+13,4.07E+28,1.06E+02
3415.947097,6.59E-14,0.00910841,5.46E+13,3.75E+28,9.81E+01
3415.659556,5.54E-14,0.0103106,6.50E+13,5.31E+28,1.39E+02
3415.634131,5.76E-14,0.00907476,6.25E+13,4.92E+28,1.28E+02
3415.614514,6.80E-14,0.00965713,5.29E+13,3.52E+28,9.21E+01
3415.538693,6.69E-14,0.0100043,5.38E+13,3.64E+28,9.51E+01
3415.332704,5.89E-14,0.00936123,6.11E+13,4.70E+28,1.23E+02
3415.150324,6.61E-14,0.00963752,5.45E+13,3.72E+28,9.73E+01
3415.006783,8.25E-14,0.0083779,4.36E+13,2.39E+28,6.25E+01
