Temperature (K),Brightness (watts/m2),Parallax (arcsec)
4684.23084991827,8.230954844960959e-13,0.0110968
4684.12894365917,9.00163547840736e-13,0.00817913
4682.84106105009,8.69576431120935e-13,0.00900036
4682.70194660024,8.24475223439093e-13,0.00786068
4682.69561536159,8.64278273269834e-13,0.0102508
4681.95996990177,7.77828993725814e-13,0.00924813
4679.96491960228,9.20684151690725e-13,0.00943519
4677.92642506297,6.82102535901398e-13,0.00854942
4677.81931535185,7.50738356748215e-13,0.00983937
4675.95904631449,9.67001813438729e-13,0.0110882
4675.24542710823,7.39554971331596e-13,0.0100018
4674.36869820067,8.30162797961095e-13,0.00929528
4673.91221224206,8.15051577304204e-13,0.00950434
4670.49132233631,9.107156583452e-13,0.0121636
4669.3686144416,8.35662428112038e-13,0.0101738
4669.33534987897,8.04663950269975e-13,0.00995704
4669.32369004642,7.23465961780452e-13,0.0108894
4669.32296156493,9.21830059641426e-13,0.00989285
4667.31524318217,9.40367568831794e-13,0.0103615
4667.30924932083,8.00210212233837e-13,0.0101639
4663.09322689299,8.610227594276799e-13,0.0109217
4662.11172988773,8.79689224382661e-13,0.0105958
4662.09724545666,9.28895421563315e-13,0.0113761
4661.9313066771,7.29252823469667e-13,0.0103081
4660.05427469431,8.39002668045448e-13,0.00948479
4658.23744152288,6.67286092132528e-13,0.00893246
4658.17828507184,7.14947294778513e-13,0.00930226
4657.82289718299,8.5323344094939e-13,0.00971591
4655.99930765473,8.3381135622831e-13,0.0111957
4655.73183282677,7.580929100271499e-13,0.0108228
4652.04344864782,8.357183362162059e-13,0.0113859
4651.96198612735,7.529983632515109e-13,0.00950136
4651.22209470395,8.31234085561166e-13,0.0106642
4651.21762007341,9.47007297933811e-13,0.0108016
4650.61424392416,8.34909617565888e-13,0.0115937
4645.85522706614,7.964872026470619e-13,0.0108698
4644.43477725962,8.01928354276262e-13,0.00945454
4634.3811294839,5.11134721093427e-13,0.00983668
4628.95163663642,9.16183681853595e-13,0.0101672
4627.58712169269,2.08212205303828e-11,0.0084949
4589.88685759727,7.492791141767799e-13,0.0110568
4555.35427578048,4.8556951825442e-13,0.0106329
